========================================13/11/2022 09:59:51========================================
Step:1/5000 -- 30/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.049E+00 / 2.076E-01 / 8.124E-01 Valid: 2.446E+00 / 2.056E-01 / 7.973E-01
Step:1/5000 -- 31/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.051E+00 / 2.043E-01 / 8.081E-01 Valid: 2.521E+00 / 2.058E-01 / 8.024E-01
Step:1/5000 -- 32/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.004E+00 / 2.045E-01 / 8.044E-01 Valid: 2.482E+00 / 2.028E-01 / 7.803E-01
Step:1/5000 -- 33/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.044E+00 / 2.037E-01 / 8.051E-01 Valid: 2.436E+00 / 1.992E-01 / 8.113E-01
Step:1/5000 -- 34/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.013E+00 / 2.047E-01 / 8.033E-01 Valid: 2.347E+00 / 1.963E-01 / 8.196E-01
Step:1/5000 -- 35/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 2.993E+00 / 2.032E-01 / 8.008E-01 Valid: 2.556E+00 / 2.023E-01 / 8.181E-01
Step:1/5000 -- 36/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.005E+00 / 2.047E-01 / 8.029E-01 Valid: 2.512E+00 / 2.027E-01 / 7.922E-01
Step:1/5000 -- 37/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.046E+00 / 2.007E-01 / 8.046E-01 Valid: 2.455E+00 / 1.972E-01 / 8.100E-01
Step:1/5000 -- 38/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.013E+00 / 2.041E-01 / 7.984E-01 Valid: 2.486E+00 / 2.012E-01 / 7.843E-01
Step:1/5000 -- 39/0 ; Lr: 1.000E-04 ; Total Noad add / Ring / Node connect: 3.017E+00 / 2.014E-01 / 7.938E-01 Valid: 2.419E+00 / 2.145E-01 / 8.022E-01
